x_desired,y_desired,z_desired,x_actual,y_actual,z_actual
-0.903018,1.19773,-1.2,1.51024,-0.0736134,1.32717
-0.961751,1.1511,-1.2,1.50068,-0.152446,1.32057
-1.01808,1.1016,-1.2,1.4877,-0.228818,1.31596
-1.07187,1.04934,-1.2,1.46292,-0.308534,1.32165
-1.12297,0.994454,-1.2,1.43907,-0.375489,1.32653
-1.17127,0.937086,-1.2,1.41145,-0.448117,1.32836
-1.21664,0.877375,-1.2,1.38203,-0.514424,1.32783
-1.25897,0.815472,-1.2,1.34446,-0.584001,1.32655
-1.29815,0.751531,-1.2,1.30912,-0.640812,1.3318
-1.33409,0.685712,-1.2,1.26209,-0.708054,1.33582
-1.3667,0.618178,-1.2,1.21088,-0.769718,1.3395
-1.39588,0.549099,-1.2,1.15019,-0.835537,1.34304
-1.42158,0.478647,-1.2,1.09372,-0.895462,1.34542
-1.44373,0.406999,-1.2,1.03084,-0.962519,1.34181
-1.46227,0.334335,-1.2,0.971303,-1.01652,1.33586
-1.47715,0.260834,-1.2,0.907301,-1.07201,1.32748
-1.48834,0.186681,-1.2,0.848508,-1.1195,1.31704
-1.49581,0.112062,-1.2,0.782977,-1.1629,1.30086
-1.49954,0.0371623,-1.2,0.727267,-1.20254,1.2884
-1.49952,-0.0378288,-1.2,0.677338,-1.23989,1.2812
-1.49576,-0.112727,-1.2,0.612411,-1.28602,1.27393
-1.48825,-0.187343,-1.2,0.559003,-1.32011,1.26742
-1.47703,-0.261491,-1.2,0.484104,-1.35863,1.2573
-1.46212,-0.334985,-1.2,0.424298,-1.386,1.25581
-1.44355,-0.407641,-1.2,0.357059,-1.41588,1.25618
-1.42137,-0.479279,-1.2,0.297001,-1.44004,1.26016
-1.39564,-0.549719,-1.2,0.233707,-1.46205,1.26937
-1.36642,-0.618785,-1.2,0.184854,-1.47796,1.27641
-1.33379,-0.686305,-1.2,0.120018,-1.48771,1.28158
-1.29782,-0.752107,-1.2,0.0658734,-1.49107,1.28125
-1.25861,-0.816032,-1.2,-0.00848069,-1.49287,1.27764
-1.21625,-0.877916,-1.2,-0.0709348,-1.49345,1.27413
-1.17085,-0.937606,-1.2,-0.144978,-1.48874,1.27091
-1.12253,-0.994953,-1.2,-0.214205,-1.48178,1.26439
-1.0714,-1.04981,-1.2,-0.288909,-1.47055,1.26014
-1.01759,-1.10205,-1.2,-0.356629,-1.45758,1.25754
-0.961239,-1.15153,-1.2,-0.428046,-1.44172,1.25317
-0.902485,-1.19813,-1.2,-0.497906,-1.41981,1.25387
-0.841476,-1.24174,-1.2,-0.573446,-1.39061,1.26085
-0.778364,-1.28224,-1.2,-0.641285,-1.36039,1.26532
-0.713305,-1.31954,-1.2,-0.711409,-1.32372,1.26723
-0.646464,-1.35355,-1.2,-0.772881,-1.28524,1.26793
-0.578007,-1.38416,-1.2,-0.829211,-1.24891,1.2674
-0.508105,-1.41132,-1.2,-0.900998,-1.20301,1.26372
-0.436934,-1.43495,-1.2,-0.95652,-1.16605,1.26043
-0.36467,-1.455,-1.2,-1.02423,-1.11325,1.25642
-0.291495,-1.4714,-1.2,-1.07842,-1.05788,1.25258
-0.21759,-1.48413,-1.2,-1.12781,-0.992502,1.24631
-0.143142,-1.49315,-1.2,-1.16573,-0.936866,1.24263
-0.0683381,-1.49844,-1.2,-1.20728,-0.872948,1.24029
0.00663855,-1.49999,-1.2,-1.23973,-0.820933,1.23952
0.00663855,-1.49999,-1.2,-1.27459,-0.755968,1.2347
0.00663855,-1.49999,-1.2,-1.30185,-0.701567,1.23294
0.00663855,-1.49999,-1.2,-1.33714,-0.631463,1.23059
0.00663855,-1.49999,-1.2,-1.36478,-0.575877,1.22256
0.00663855,-1.49999,-1.2,-1.3961,-0.506433,1.19862
0.00663855,-1.49999,-1.2,-1.41188,-0.458766,1.17274
0.00663855,-1.49999,-1.2,-1.42565,-0.419553,1.1264
0.00663855,-1.49999,-1.2,-1.43116,-0.399954,1.06945
0.00663855,-1.49999,-1.2,-1.43661,-0.389584,1.02163
0.00663855,-1.49999,-1.2,-1.43629,-0.383015,1.00994
0.00663855,-1.49999,-1.2,-1.42743,-0.381685,1.0078
0.00663855,-1.49999,-1.2,-1.42176,-0.392161,1.00616
0.00663855,-1.49999,-1.2,-1.41861,-0.407093,1.00837
0.00663855,-1.49999,-1.2,-1.41772,-0.419765,1.01491
0.00663855,-1.49999,-1.2,-1.41812,-0.426761,1.02345
0.00663855,-1.49999,-1.2,-1.41904,-0.426221,1.02839
0.00663855,-1.49999,-1.2,-1.42113,-0.424246,1.02507
0.00663855,-1.49999,-1.2,-1.42557,-0.421019,1.01696
0.00663855,-1.49999,-1.2,-1.42999,-0.419076,1.00891
0.00663855,-1.49999,-1.2,-1.43637,-0.419596,0.997326
0.00663855,-1.49999,-1.2,-1.43881,-0.421415,0.989916
0.00663855,-1.49999,-1.2,-1.44221,-0.425039,0.986903
0.00663855,-1.49999,-1.2,-1.44417,-0.428241,0.983245
0.00663855,-1.49999,-1.2,-1.4458,-0.430823,0.977188
0.00663855,-1.49999,-1.2,-1.4496,-0.431501,0.973614
0.00663855,-1.49999,-1.2,-1.45783,-0.427965,0.970434
0.00663855,-1.49999,-1.2,-1.46174,-0.42642,0.966436
0.00663855,-1.49999,-1.2,-1.46509,-0.4254,0.962267
0.00663855,-1.49999,-1.2,-1.4675,-0.424483,0.960001
0.00663855,-1.49999,-1.2,-1.46738,-0.422456,0.959879
0.00663855,-1.49999,-1.2,-1.4671,-0.423719,0.962957
0.00663855,-1.49999,-1.2,-1.4659,-0.425792,0.96627
0.00663855,-1.49999,-1.2,-1.46616,-0.427536,0.970423
0.00663855,-1.49999,-1.2,-1.46813,-0.428067,0.977677
0.00663855,-1.49999,-1.2,-1.46622,-0.429351,0.984854
0.00663855,-1.49999,-1.2,-1.46461,-0.430514,0.992765
0.00663855,-1.49999,-1.2,-1.4617,-0.429465,0.998478
0.00663855,-1.49999,-1.2,-1.45982,-0.428258,1.00085
0.00663855,-1.49999,-1.2,-1.45884,-0.428618,1.00248
0.00663855,-1.49999,-1.2,-1.4477,-0.43119,1.00595
0.00663855,-1.49999,-1.2,-1.43749,-0.429272,1.01567
0.00663855,-1.49999,-1.2,-1.43241,-0.427143,1.02292
0.00663855,-1.49999,-1.2,-1.42806,-0.424227,1.02949
0.00663855,-1.49999,-1.2,-1.42299,-0.42043,1.0342
0.00663855,-1.49999,-1.2,-1.42235,-0.419943,1.03669
0.00663855,-1.49999,-1.2,-1.41898,-0.422361,1.04242
0.00663855,-1.49999,-1.2,-1.41465,-0.426175,1.04937
0.00663855,-1.49999,-1.2,-1.41173,-0.428629,1.05384
0.00663855,-1.49999,-1.2,-1.40991,-0.427904,1.05843
0.00663855,-1.49999,-1.2,-1.41112,-0.431354,1.05957
0.00663855,-1.49999,-1.2,-1.40707,-0.435068,1.05446
0.00663855,-1.49999,-1.2,-1.40316,-0.439809,1.04731
0.00663855,-1.49999,-1.2,-1.39966,-0.447807,1.03604
0.00663855,-1.49999,-1.2,-1.39816,-0.456301,1.02174
0.00663855,-1.49999,-1.2,-1.38937,-0.456402,1.01777
0.00663855,-1.49999,-1.2,-1.38308,-0.454292,1.00992
0.00663855,-1.49999,-1.2,-1.37641,-0.453128,1.00436
0.00663855,-1.49999,-1.2,-1.37041,-0.454158,1.00282
0.00663855,-1.49999,-1.2,-1.36607,-0.457962,1.00212
0.00663855,-1.49999,-1.2,-1.364,-0.463219,1.00089
0.00663855,-1.49999,-1.2,-1.36701,-0.468544,0.998299
0.00663855,-1.49999,-1.2,-1.37064,-0.473807,0.995799
0.00663855,-1.49999,-1.2,-1.3733,-0.479051,0.993191
0.00663855,-1.49999,-1.2,-1.37636,-0.488348,0.990641
0.00663855,-1.49999,-1.2,-1.38164,-0.49145,0.986023
0.00663855,-1.49999,-1.2,-1.38722,-0.491319,0.982522
0.00663855,-1.49999,-1.2,-1.39084,-0.488578,0.98125
0.00663855,-1.49999,-1.2,-1.39568,-0.484151,0.979316
0.00663855,-1.49999,-1.2,-1.40509,-0.483983,0.979311
0.00663855,-1.49999,-1.2,-1.40964,-0.493236,0.978851
0.00663855,-1.49999,-1.2,-1.41249,-0.502075,0.976764
0.00663855,-1.49999,-1.2,-1.4157,-0.509368,0.97111
0.00663855,-1.49999,-1.2,-1.41724,-0.510613,0.964567
